epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2898.5,1.90272,3.09108,1.89178,0.27473,0.10893,0.08354,0.03973,1.93856,2.68639,1.89233,0.00012787,0.00012787,0.00012787
2,6132.7,1.45142,1.67215,1.49171,0.1923,0.10902,0.08778,0.04314,1.95931,2.53365,1.90654,0.000171656,0.000171656,0.000171656
3,8555.59,1.25534,1.28023,1.34548,0.21993,0.11424,0.10335,0.05052,1.91814,2.40651,1.9244,0.000130742,0.000130742,0.000130742
