epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1578.99,2.04291,3.49798,1.94185,0.338,0.09522,0.06972,0.03427,1.91348,2.56935,1.84989,0.00012787,0.00012787,0.00012787
2,3172.91,1.48053,1.79053,1.49671,0.21933,0.08569,0.07803,0.0391,1.99486,2.65714,1.87828,0.000171656,0.000171656,0.000171656
3,4546.68,1.27286,1.38174,1.35031,0.21522,0.12968,0.10283,0.0498,1.91628,2.38262,1.89997,0.000130742,0.000130742,0.000130742
